iter	Passed	Remaining
771	3315	979
772	3319	974
773	3324	970
774	3329	966
775	3335	962
776	3342	959
777	3348	955
778	3353	951
779	3357	946
780	3361	942
781	3366	938
782	3370	934
783	3375	929
784	3379	925
785	3383	921
786	3387	916
787	3391	912
788	3396	908
789	3400	903
790	3404	899
791	3408	895
792	3412	890
793	3416	886
794	3420	882
795	3424	877
796	3428	873
797	3432	868
798	3437	864
799	3441	860
800	3445	855
801	3449	851
802	3453	847
803	3458	843
804	3461	838
805	3465	834
806	3469	829
807	3472	825
808	3476	820
809	3480	816
810	3484	812
811	3488	807
812	3493	803
813	3497	799
814	3501	794
815	3505	790
816	3509	786
817	3513	781
818	3517	777
819	3521	773
820	3528	769
821	3534	765
822	3541	761
823	3545	757
824	3549	752
825	3554	748
826	3558	744
827	3562	740
828	3567	735
829	3570	731
830	3574	727
831	3579	722
832	3583	718
833	3587	714
834	3591	709
835	3595	705
836	3599	701
837	3603	696
838	3607	692
839	3611	687
840	3615	683
841	3619	679
842	3624	674
843	3628	670
844	3632	666
845	3636	661
846	3640	657
847	3644	653
848	3648	648
849	3652	644
850	3657	640
851	3661	635
852	3665	631
853	3669	627
854	3673	623
855	3677	618
856	3681	614
857	3686	610
858	3690	605
859	3694	601
860	3698	597
861	3702	592
862	3706	588
863	3710	584
864	3715	579
865	3721	575
866	3727	571
867	3733	567
868	3737	563
869	3742	559
870	3747	554
871	3751	550
872	3755	546
873	3759	542
874	3764	537
875	3768	533
876	3773	529
877	3777	524
878	3782	520
879	3786	516
880	3790	512
881	3795	507
882	3799	503
883	3803	499
884	3807	494
885	3811	490
886	3816	486
887	3820	481
888	3824	477
889	3828	473
890	3832	468
891	3836	464
892	3840	460
893	3844	455
894	3848	451
895	3853	447
896	3857	442
897	3861	438
898	3865	434
899	3869	429
900	3873	425
901	3877	421
902	3881	416
903	3885	412
904	3889	408
905	3893	403
906	3897	399
907	3901	395
908	3905	391
909	3911	386
910	3917	382
911	3923	378
912	3928	374
913	3933	370
914	3938	365
915	3942	361
916	3946	357
917	3950	352
918	3954	348
919	3958	344
920	3963	339
921	3967	335
922	3971	331
923	3975	327
924	3979	322
925	3984	318
926	3988	314
927	3992	309
928	3996	305
929	3999	301
930	4003	296
931	4007	292
932	4012	288
933	4015	283
934	4020	279
935	4024	275
936	4028	270
937	4032	266
938	4036	262
939	4040	257
940	4044	253
941	4048	249
942	4053	244
943	4057	240
944	4061	236
945	4065	232
946	4069	227
947	4073	223
948	4077	219
949	4081	214
950	4085	210
951	4089	206
952	4094	201
953	4097	197
954	4101	193
955	4106	189
956	4113	184
957	4119	180
958	4127	176
959	4138	172
960	4145	168
961	4152	164
962	4157	159
963	4161	155
964	4165	151
965	4169	146
966	4174	142
967	4178	138
968	4182	133
969	4186	129
970	4189	125
971	4194	120
972	4198	116
973	4203	112
974	4207	107
975	4211	103
976	4216	99
977	4220	94
978	4224	90
979	4228	86
980	4232	81
981	4237	77
982	4242	73
983	4247	69
984	4252	64
985	4256	60
986	4260	56
987	4264	51
988	4268	47
989	4272	43
990	4276	38
991	4280	34
992	4285	30
993	4290	25
994	4295	21
995	4301	17
996	4307	12
997	4314	8
998	4318	4
999	4323	0
